ano,fecha,entidad,clave_est,municipio,clave_municipal,cvegeo,colonia_o_comunidad,descripcion_geo,fosas,total_cuerpos,masculino,femenino,links
2019,2019-12-06,Guanajuato,11,Irapuato,017,11017,San Antonio El Rico,Calle Callejon de Hacienda,1,16,NA,NA,http://www.agoragto.com/noticias/nota-roja/encuentran-cuerpos-en-fosa-en-san-antonio-el-rico/
2019,2019-12-06,Guanajuato,11,Salamanca,027,11027,Colonia Morelos,(Límites con Valle de Santiago),1,5,NA,NA,https://julioastillero.com/hallan-restos-humanos-en-finca-de-salamanca/
2019,2019-12-04,Guanajuato,11,Cortázar,011,11011,Cerrito Colorado,"NA",1,1,NA,NA,https://www.elsoldelbajio.com.mx/policiaca/encuentran-restos-oseos-en-cerrito-colorado-4542956.html
2019,2019-11-29,Guanajuato,11,León,020,11020,Ampliación Medina,Loma de Laurel Esquina con calle Loma de Buganvilia,1,1,NA,NA,https://periodicocorreo.com.mx/encuentran-cadaver-semienterrado-en-leon/
2019,2019-11-06,Guanajuato,11,Salamanca,027,11027,Comunidad San Cayetano,Camino de Terraceria de Loma de Flores,1,1,NA,NA,https://periodicocorreo.com.mx/entierran-cuerpo-en-un-socavon-de-san-cayetano/
2019,2019-11-06,Guanajuato,11,Celaya,007,11007,Colonia Pedro María Anaya,Parcelas de Pedro Maria Anaya,1,5,NA,NA,https://www.elsoldemexico.com.mx/republica/justicia/localizan-al-menos-cinco-cuerpos-en-fosa-clandestina-de-celaya-4421091.html
2019,2019-10-17,Guanajuato,11,Abasolo,001,11001,Comunidad El Encanto,Terreno de cultivo,1,1,1,NA,https://periodicocorreo.com.mx/localizan-hombre-semienterrado-en-abasolo/
2019,2019-08-22,Guanajuato,11,Abasolo,001,11001,Col. Guadalupe (de la cabecera municipal),Camino vecinal La Zanja-Brinco del Diablo,1,1,1,NA,https://periodicocorreo.com.mx/encuentran-sepultura-ilegal-en-abasolo/
2019,2019-08-14,Guanajuato,11,Celaya,007,11007,Comunidad de Rincon de Tamayo,(faldas de) Cerro de Tepetates,1,8,NA,NA,https://zonafranca.mx/seguridad/celaya-hallan-fosa-clandestina-en-rincon-de-tamayo/
2019,2019-08-12,Guanajuato,11,Apaseo el Alto,004,11004,"NA",Cerro de La Mesita,1,1,NA,1,https://www.elsoldelbajio.com.mx/policiaca/hallan-cuerpo-en-descomposicion-de-una-mujer-en-apaseo-el-alto-4030131.html
2019,2019-07-29,Guanajuato,11,Irapuato,017,11017,El Conejo,Cerca de Libramiento Norponiente de Irapuato,1,1,1,NA,https://guanajuato.lasillarota.com/estados/perros-hallan-junto-a-un-puente-el-cadaver-semienterrado-del-abogado-arturo-skinfill-irapuato-semienterrado/303845
2019,2019-07-23,Guanajuato,11,Celaya,007,11007,Comunidad El Salitre,"Entre Jufre y el Salitre, cerca del pozo",1,1,NA,1,https://www.elsoldelbajio.com.mx/policiaca/localizan-mujer-semienterrada-en-el-salitre-3939335.html
2019,2019-07-05,Guanajuato,11,Guanajuato,015,11015,Colonia Los Nicolases,"NA",1,3,NA,NA,https://tvguanajuato.com/estado/destapan-una-narcofosa-en-la-capital-con-tres-cuerpos-enterrados-al-interior-de-una-vivienda-en-la-comunidad-de-los-nicolases/
2019,2019-06-24,Guanajuato,11,Cuerámaro,012,11012,San Gregorio,"A un costado de la cancha de futbol, a un lado de la ribera del Río Turbio, entre Tupátaro y Corralejo",1,3,NA,NA,https://guanajuato.lasillarota.com/estados/hallan-fosas-clandestinas-junto-a-un-campo-de-futbol-cueramaro/292986
2019,2019-06-18,Guanajuato,11,Cortázar,011,11011,Col. Guanajuato,Costado de Río Laja a su paso por la colonia Guanajuato,1,1,1,NA,https://www.elsoldelbajio.com.mx/policiaca/encuentran-un-cadaver-enterrado-en-cortazar-3782774.html
2019,2019-06-12,Guanajuato,11,Tierra blanca,040,11040,Las Moras,"NA",1,1,NA,NA,https://zonafranca.mx/seguridad/encuentran-cuerpo-semienterrado-en-tierra-blanca/
